COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;CATEG;INDICADOR;VAL_INDI
3120151;Crisólita;2015;1;45;4.2;Indicador de investimento por aluno;4.2 - Investimento educacional por aluno do ensino fundamental;4437,67
3120151;Crisólita;2015;1;53;4.5;Indicador de investimento por aluno;4.5 - Investimento educacional por aluno da educação de jovens e adultos;
3120151;Crisólita;2015;1;54;4.6;Indicador de investimento por aluno;4.6 - Investimento educacional por aluno da educação especial;
3120151;Crisólita;2015;1;56;4.8;Indicador de investimento por aluno;4.8 - Investimento educacional por aluno da educação básica;4082,9
3120151;Crisólita;2015;1;57;4.9;Indicador de investimento por aluno;4.9 - Investimento educacional por aluno;4082,9
3120151;Crisólita;2015;1;65;5.1;Indicador de desenvolvimento educacional;5.1 - Índice de Desenvolvimento da Educação Básica - IDEB - Séries Iniciais;5
3120151;Crisólita;2015;1;66;5.2;Indicador de desenvolvimento educacional;5.2 - Índice de Desenvolvimento da Educação Básica - IDEB - Séries Finais;4
3120151;Crisólita;2015;1;82;5.3;Indicador de desenvolvimento educacional;5.3 - Taxa de Aprovação do Ensino Fundamental;93,6
3120151;Crisólita;2015;1;73;5.5;Indicador de desenvolvimento educacional;5.5 - Taxa de Reprovação do Ensino Fundamental;3,7
3120151;Crisólita;2015;1;75;5.7;Indicador de desenvolvimento educacional;5.7 - Taxa de Abandono do Ensino Fundamental;2,7
3126752;Franciscópolis;2015;1;24;1.1;Indicador legal;1.1 - Percentual de aplicação das receitas de impostos e transferências vinculadas à educação em MDE (mínimo de 25% para estados, DF e municípios);0,3083
3126752;Franciscópolis;2015;1;67;1.2;Indicador legal;1.2 - Percentual de aplicação do FUNDEB na remuneração dos profissionais da educação (mínimo de 70%) - Inciso XXII, Portaria Conjunta MGI/MF/CGU Nº 33 de30-08-2023;0,6312
3126752;Franciscópolis;2015;1;68;1.3;Indicador legal;1.3 - Percentual de aplicação do FUNDEB em despesas com MDE, que não remuneração dos profissionais da educação (máximo de 30%);0,3469
3126752;Franciscópolis;2015;1;28;2.1;Indicador de dispêndio financeiro;2.1 - Percentual dos recursos do FUNDEB aplicados na educação infantil;
3126752;Franciscópolis;2015;1;47;2.10;Indicador de dispêndio financeiro;2.10 - Investimento com material didático por aluno da educação básica;61,77
3126752;Franciscópolis;2015;1;48;2.11;Indicador de dispêndio financeiro;2.11 - Percentual de despesas correntes em educação em relação à despesa total em MDE;0,9286
